Table #,V2 Table Type,Name,Description,Concept Domain,Steward WorkGroup,V2 Binding Code,Field Where Used,V2 Codes Table Comment.,Code System Problem?,Table OID,V2 Code System OID,V2 Code System URI,V2 Value Set OID,V2 Value Set URI,V2 Code System Version,version-tbl-introduced,version-csvs-introduced,V2 VS CLD Type
0516,HL7,Error Severity,"HL7-defined table of codes specifying the severity of an application error as reported during acknowledgment of messages. Knowing if something is Error, Warning or Information is intrinsic to how an application handles the content and the information flow.",ErrorSeverity,inm,Universal (3),ERR-4,,,2.16.840.1.113883.12.516,2.16.840.1.113883.18.337,http://terminology.hl7.org/CodeSystem/v2-0516,2.16.840.1.113883.21.353,http://terminology.hl7.org/ValueSet/v2-0516,10,2.5,2.9,1
0517,User,Inform Person Code,Table of codes used to specify who (if anyone) should be informed of the error.  This field may also be used to indicate that a particular person should NOT be informed of the error (e.g. do not inform patient.),InformPersonCode,inm,Representative (2),ERR-9,,,2.16.840.1.113883.12.517,2.16.840.1.113883.18.338,http://terminology.hl7.org/CodeSystem/v2-0517,2.16.840.1.113883.21.354,http://terminology.hl7.org/ValueSet/v2-0517,10,2.5,2.9,1
0518,User,Override Type,Table of codes used to specify what type of override can be used to override the specific error identified.,OverrideType,inm,Example (1),"ERR-10, OVR-1",,,2.16.840.1.113883.12.518,2.16.840.1.113883.18.339,http://terminology.hl7.org/CodeSystem/v2-0518,2.16.840.1.113883.21.355,http://terminology.hl7.org/ValueSet/v2-0518,10,2.5,2.9,1
0519,User,Override Reason,Table of codes that specify the override codes that can be used to override enforcement of the application rule that generated an error.  No suggested values.,OverrideReason,inm,N/A (0),ERR-11,,,2.16.840.1.113883.12.519,,,,,10,2.5,2.9,
0520,HL7,Message Waiting Priority,"HL7-defined table of codes used to specify how important the most important waiting mesasge is.  For example, if there are 3 low priority messages, 1 medium priority message and 1 high priority message, the message waiting priority would be ""high"", because that is the highest priority of any new message waiting.",V2MessageWaitingPriority,inm,Universal (3),MSA-8,,,2.16.840.1.113883.12.520,2.16.840.1.113883.18.340,http://terminology.hl7.org/CodeSystem/v2-0520,2.16.840.1.113883.21.356,http://terminology.hl7.org/ValueSet/v2-0520,10,2.6,2.9,1
0521,User,Override Code,Table of codes that specify the reason for the business rule override.  No suggested values.,OverrideCode,inm,N/A (0),OVR-2,,,2.16.840.1.113883.12.521,,,,,10,2.5,2.9,
0523,HL7,Computation Type,HL7-defined table of codes used to specify if the change is computed as a percent change or as an absolute change.,ComputationType,oo,Universal (3),DLT.3,,,2.16.840.1.113883.12.523,2.16.840.1.113883.18.341,http://terminology.hl7.org/CodeSystem/v2-0523,2.16.840.1.113883.21.357,http://terminology.hl7.org/ValueSet/v2-0523,10,2.5,2.9,1
0524,HL7,Sequence condition,HL7-defined table of codes that identify whether sequence conditions or a repeating cycle of orders is defined.   This is part of the Order Sequence Definition.,SequenceCondition,,Universal (3),,,,2.16.840.1.113883.12.524,2.16.840.1.113883.18.342,http://terminology.hl7.org/CodeSystem/v2-0524,2.16.840.1.113883.21.358,http://terminology.hl7.org/ValueSet/v2-0524,10,2.5,2.9,1
0525,User,Privilege,Table of codes that specify the institutional privilege.  No suggested values.,Privilege,pa,N/A (0),PIP.1,,,2.16.840.1.113883.12.525,,,,,10,2.5,2.9,
0526,User,Privilege Class,Table of codes that specify the class category of institutional privilege.  No suggested values.,PrivilegeClass,pa,N/A (0),PIP.2,,,2.16.840.1.113883.12.526,,,,,10,2.5,2.9,
0527,HL7,Calendar Alignment,"HL7-defined table of codes used to specify an alignment of the repetition to a calendar (e.g., to distinguish every  30 days from ""the 5th of every month"").",CalendarAlignment,oo,Universal (3),RPT.2,,,2.16.840.1.113883.12.527,2.16.840.1.113883.18.343,http://terminology.hl7.org/CodeSystem/v2-0527,2.16.840.1.113883.21.359,http://terminology.hl7.org/ValueSet/v2-0527,10,2.5,2.9,1
0528,HL7,Event Related Period,HL7-defined table of codes used to specify a common (periodical) activity of daily living.,EventRelatedPeriod,oo,Universal (3),RPT.8,,,2.16.840.1.113883.12.528,2.16.840.1.113883.18.344,http://terminology.hl7.org/CodeSystem/v2-0528,2.16.840.1.113883.21.360,http://terminology.hl7.org/ValueSet/v2-0528,10,2.5,2.9,1
0529,HL7,Precision,HL7-defined table of concepts used to specify the degree of precision of the time stamp.   Table is no longer published as part of the released Standard after version 2.5.1.,Precision,,Universal (3),,,,2.16.840.1.113883.12.529,2.16.840.1.113883.18.345,http://terminology.hl7.org/CodeSystem/v2-0529,2.16.840.1.113883.21.361,http://terminology.hl7.org/ValueSet/v2-0529,10,2.5,2.9,1
0530,User,"Organization, Agency, Department",Table of codes used to specify the agency or department that assigned the identifier in component 1.,Organization_Agency_Department,inm,Example (1),"CX.10, PPN.24, XCN.23",,,2.16.840.1.113883.12.530,2.16.840.1.113883.18.346,http://terminology.hl7.org/CodeSystem/v2-0530,2.16.840.1.113883.21.362,http://terminology.hl7.org/ValueSet/v2-0530,10,2.5,2.9,1
0531,User,Institution,Table of codes that specify the institution where a staff member is or was active.  No suggested values.,Institution,pa,N/A (0),DIN.2,,,2.16.840.1.113883.12.531,,,,,10,2.5,2.9,
0532,HL7,Expanded Yes/no Indicator,"HL7-defined table of codes used to specify an expansion on the original Yes/No indicator table by including ""flavors of null"".  It is intended to be applied to fields where the response is not limited to ""yes"" or ""no"".",ExpandedYes_NoIndicator,inm,Universal (3),Numerous locations,,,2.16.840.1.113883.12.532,2.16.840.1.113883.18.347,http://terminology.hl7.org/CodeSystem/v2-0532,2.16.840.1.113883.21.363,http://terminology.hl7.org/ValueSet/v2-0532,10,2.5,2.9,1
0533,User,Application Error Code,Table of codes that specify the application specific code identifying the specific error that occurred.  No suggested values.,ApplicationErrorCode,inm,N/A (0),ERR-5,,,2.16.840.1.113883.12.533,,,,,10,2.5,2.9,
0534,User,Notify Clergy Code,Table of codes used to specify whether the clergy should be notified.,NotifyClergyCode,pa,Representative (2),PV2-49,,,2.16.840.1.113883.12.534,2.16.840.1.113883.18.348,http://terminology.hl7.org/CodeSystem/v2-0534,2.16.840.1.113883.21.364,http://terminology.hl7.org/ValueSet/v2-0534,10,2.5,2.9,1
0535,User,Signature Code,Table of codes that indicate how a patient/subscriber authorization signature is obtained and how it is being retained by a provider.,SignatureCode,fm,Example (1),IN1-50,,,2.16.840.1.113883.12.535,2.16.840.1.113883.18.349,http://terminology.hl7.org/CodeSystem/v2-0535,2.16.840.1.113883.21.365,http://terminology.hl7.org/ValueSet/v2-0535,10,2.5,2.9,1
0536,User,Certificate Status,Table of codes used to specify the status of the certificate held by the health professional.,CertificateStatus,pa,Representative (2),CER-31,,,2.16.840.1.113883.12.536,2.16.840.1.113883.18.350,http://terminology.hl7.org/CodeSystem/v2-0536,2.16.840.1.113883.21.366,http://terminology.hl7.org/ValueSet/v2-0536,10,2.5,2.9,1
0537,User,Institution,"Table of codes that specify the institution the practitioner began or intends to begin practicing at (e.g., at hospital, at physician organization, at managed care network).  No suggested values.",Institution2,pa,N/A (0),"PRA-9, STF-12",,,2.16.840.1.113883.12.537,,,,,10,2.5,2.9,
0538,User,Institution Relationship Type,Table of codes used to specify the relationship the staff person has with the institution for whom he/she provides services.,InstitutionRelationshipType,pa,Example (1),STF-33,,,2.16.840.1.113883.12.538,2.16.840.1.113883.18.351,http://terminology.hl7.org/CodeSystem/v2-0538,2.16.840.1.113883.21.367,http://terminology.hl7.org/ValueSet/v2-0538,10,2.5,2.9,1
0539,User,Cost Center Code,Table of codes that specify the organization unit in the General Ledger to which the staff member is currently assigned.  No suggested values.,CostCenterCode,pa,N/A (0),STF-36,,,2.16.840.1.113883.12.539,,,,,10,2.5,2.9,
0540,User,Inactive Reason Code,Table of codes used to specify the reason the staff member is inactive.,InactiveReasonCode,pa,Example (1),STF-38,,,2.16.840.1.113883.12.540,2.16.840.1.113883.18.352,http://terminology.hl7.org/CodeSystem/v2-0540,2.16.840.1.113883.21.368,http://terminology.hl7.org/ValueSet/v2-0540,10,2.5,2.9,1
0541,User,Specimen Type Modifier,Table of codes that specify the modifying or qualifying description(s) about the specimen type.  No suggested values.,SpecimenTypeModifier,oo,N/A (0),SPM-5,,,2.16.840.1.113883.12.541,,,,,10,2.5,2.9,
0542,User,Specimen Source Type Modifier,Table of codes that specify the modifying or qualifying description(s) about the specimen source site.  No suggested values.,SpecimenSourceTypeModifier,oo,N/A (0),SPM-9,,,2.16.840.1.113883.12.542,,,,,10,2.5,2.9,
0543,User,Specimen Collection Site,"Table of codes that specify the modifying or qualifying description(s) about the specimen collection site.  This field differs from Specimen Source Site in those cases where the source site must be approached via a particular site (e.g., anatomic location). For example, in the case where a liver biopsy is obtained via a percutaneous needle, the collection site would be the point of entry of the needle. For venous blood collected from the left radial vein, the collection site could be “antecubital fossa”.  No suggested values.",SpecimenCollectionSite,oo,N/A (0),SPM-10,,,2.16.840.1.113883.12.543,,,,,10,2.5,2.9,
0544,User,Container Condition,"HL7-defined table of codes used to specify at each receipt the status of the container in which the specimen is shipped in chain of custody cases where specimens are moved from lab to lab.  If the container is compromised in any way (seal broken, container cracked or leaking, etc.), then this status needs to be recorded for legal reasons.",ContainerCondition,oo,Representative (2),"SPM-28, SHP-9, PAC-6",,,2.16.840.1.113883.12.544,2.16.840.1.113883.18.353,http://terminology.hl7.org/CodeSystem/v2-0544,2.16.840.1.113883.21.369,http://terminology.hl7.org/ValueSet/v2-0544,10,2.5,2.9,1
0545,User,Language Translated To,Table of codes that specify the language to which the consent material must be translated.  Used in the Consent (CON) segment in Version 2 messaging.  Table is no longer published as part of the released Standard after version 2.5.1.,Language,,N/A (0),,,,2.16.840.1.113883.12.545,,,,,10,2.5,2.9,
0547,User,Jurisdictional Breadth,Table of codes used to specify the breadth/extent of the jurisdiction where the qualification is valid.,JurisdictionalBreadth,pa,Example (1),CER-22,,,2.16.840.1.113883.12.547,2.16.840.1.113883.18.354,http://terminology.hl7.org/CodeSystem/v2-0547,2.16.840.1.113883.21.370,http://terminology.hl7.org/ValueSet/v2-0547,10,2.5,2.9,1
0548,User,Signatory's Relationship to Subject,Table of codes used to specify the relationship of the consenter to the subject.,SignatorysRelationshipToSubject,sd,Representative (2),CON:25,,,2.16.840.1.113883.12.548,2.16.840.1.113883.18.355,http://terminology.hl7.org/CodeSystem/v2-0548,2.16.840.1.113883.21.371,http://terminology.hl7.org/ValueSet/v2-0548,10,2.5,2.9,1
0549,Externally defined,NDC Codes,Table of codes that specify the National Drug Codes (NDC) that are required by the Health Insurance Portability and Accountability Act (HIPAA) for electronic claims for pharmacy charges.  No suggested values.,NdcCodes,fm,N/A (0),FT1-29,,,2.16.840.1.113883.12.549,,,,,10,2.5,2.9,
0550,HL7,Body Parts,HL7-defined table of codes used to specify the part of the body.,BodyParts,oo,Universal (3),RXR-2,,,2.16.840.1.113883.12.550,2.16.840.1.113883.18.356,http://terminology.hl7.org/CodeSystem/v2-0550,2.16.840.1.113883.21.372,http://terminology.hl7.org/ValueSet/v2-0552,10,2.5,2.9,1
0552,HL7,Advanced Beneficiary Notice Override Reason,Table of codes that specify the reason the patient did not sign an Advanced Beneficiary Notice.  No suggested values.,AdvancedBeneficiaryNoticeOverrideReason,oo,Universal (3),ORC-26,,,2.16.840.1.113883.12.552,,,2.16.840.1.113883.21.372,http://terminology.hl7.org/ValueSet/v2-0552,10,2.5,2.9,1
0553,User,Invoice Control Code,Table of codes used to specify what invoice action is being performed by this message.,InvoiceControlCode,fm,Representative (2),IVC-4,,,2.16.840.1.113883.12.553,2.16.840.1.113883.18.357,http://terminology.hl7.org/CodeSystem/v2-0553,2.16.840.1.113883.21.373,http://terminology.hl7.org/ValueSet/v2-0553,10,2.6,2.9,1
0554,User,Invoice Reason Codes,Table of codes used to specify the reason for an invoice.,InvoiceReasonCodes,fm,Example (1),IVC-5,,,2.16.840.1.113883.12.554,2.16.840.1.113883.18.358,http://terminology.hl7.org/CodeSystem/v2-0554,2.16.840.1.113883.21.374,http://terminology.hl7.org/ValueSet/v2-0554,10,2.6,2.9,1
0555,User,Invoice Type,Table of codes used to specify the type of invoice.,InvoiceType,fm,Example (1),IVC-6,,,2.16.840.1.113883.12.555,2.16.840.1.113883.18.359,http://terminology.hl7.org/CodeSystem/v2-0555,2.16.840.1.113883.21.375,http://terminology.hl7.org/ValueSet/v2-0555,10,2.6,2.9,1
0556,User,Benefit Group,Table of codes used to specify the benefit group.,BenefitGroup,fm,Example (1),IVC-25,,,2.16.840.1.113883.12.556,2.16.840.1.113883.18.360,http://terminology.hl7.org/CodeSystem/v2-0556,2.16.840.1.113883.21.376,http://terminology.hl7.org/ValueSet/v2-0556,10,2.6,2.9,1
0557,User,Payee Type,"Table of codes used to specify the type of payee (e.g., organization, person).",PayeeType,fm,Representative (2),PYE-2,,,2.16.840.1.113883.12.557,2.16.840.1.113883.18.361,http://terminology.hl7.org/CodeSystem/v2-0557,2.16.840.1.113883.21.377,http://terminology.hl7.org/ValueSet/v2-0557,10,2.6,2.9,1
0558,User,Payee Relationship to Invoice,Table of codes used to specify the relationship to the invoice for Person Payee Types.,PayeeRelationshipToInvoice,fm,Example (1),PYE-3,,,2.16.840.1.113883.12.558,2.16.840.1.113883.18.362,http://terminology.hl7.org/CodeSystem/v2-0558,2.16.840.1.113883.21.378,http://terminology.hl7.org/ValueSet/v2-0558,10,2.6,2.9,1
0559,User,Product/Service Status,Table of codes used to specify the processing status for the Product/Service Code.,Product_ServiceStatus,fm,Representative (2),PLS-6,,,2.16.840.1.113883.12.559,2.16.840.1.113883.18.363,http://terminology.hl7.org/CodeSystem/v2-0559,2.16.840.1.113883.21.379,http://terminology.hl7.org/ValueSet/v2-0559,10,2.6,2.9,1
0560,User,Quantity Units,Table of codes that specify the adjustment quantity.  No suggested values.,QuantityUnits,fm,Example (1),ADJ-6,,,2.16.840.1.113883.12.560,2.16.840.1.113883.18.455,http://terminology.hl7.org/CodeSystem/v2-0560,2.16.840.1.113883.21.380,http://terminology.hl7.org/ValueSet/v2-0560,10,2.6,2.9,1
0561,User,Product/Services Clarification Codes,Table of codes used to specify the Product/Service Code.,Product_ServicesClarificationCodes,fm,Example (1),PSL-17,,,2.16.840.1.113883.12.561,2.16.840.1.113883.18.364,http://terminology.hl7.org/CodeSystem/v2-0561,2.16.840.1.113883.21.381,http://terminology.hl7.org/ValueSet/v2-0561,10,2.6,2.9,1
0562,User,Processing Consideration Codes,"Table of codes used to specify special processing requested of Payer for this Product/Service Line Item (e.g., hold until paper supporting documentation is received by Payer).",ProcessingConsiderationCodes,fm,Example (1),PSL-20,,,2.16.840.1.113883.12.562,2.16.840.1.113883.18.365,http://terminology.hl7.org/CodeSystem/v2-0562,2.16.840.1.113883.21.382,http://terminology.hl7.org/ValueSet/v2-0562,10,2.6,2.9,1
0564,User,Adjustment Category Code,Table of codes used to specify the category of adjustment and is used to assist in determining which table is used for Adjustment Reason.,AdjustmentCategoryCode,fm,Example (1),ADJ-4,,,2.16.840.1.113883.12.564,2.16.840.1.113883.18.366,http://terminology.hl7.org/CodeSystem/v2-0564,2.16.840.1.113883.21.383,http://terminology.hl7.org/ValueSet/v2-0564,10,2.6,2.9,1
0565,User,Provider Adjustment Reason Code,Table of codes used to specify the reason for this adjustment.,ProviderAdjustmentReasonCode,fm,Example (1),ADJ-7,,,2.16.840.1.113883.12.565,2.16.840.1.113883.18.367,http://terminology.hl7.org/CodeSystem/v2-0565,2.16.840.1.113883.21.384,http://terminology.hl7.org/ValueSet/v2-0565,10,2.6,2.9,1
0566,HL7,Blood Unit Type,HL7-defined table of codes used to specify the type of blood unit,BloodUnitType,oo,Universal (3),BUI-3,,,2.16.840.1.113883.12.566,2.16.840.1.113883.18.368,http://terminology.hl7.org/CodeSystem/v2-0566,2.16.840.1.113883.21.385,http://terminology.hl7.org/ValueSet/v2-0566,10,2.8,2.9,1
0567,HL7,Weight Units,Weight Units.  Note this table has been deprecated and is replacaced by table 0929.,WeightUnits,,Universal (3),,replaced by 0929,http://unitsofmeasure.org,2.16.840.1.113883.12.567,2.16.840.1.113883.6.8,http://unitsofmeasure.org,2.16.840.1.113883.21.452,http://terminology.hl7.org/ValueSet/v2-0929,10,2.8.2,2.9,2
0568,HL7,Volume Units,Volume Units Note this table has been deprecated and is replacaced by table 0930.,VolumeUnits,,Universal (3),,replaced by 0930,http://unitsofmeasure.org,2.16.840.1.113883.12.568,2.16.840.1.113883.6.8,http://unitsofmeasure.org,2.16.840.1.113883.21.453,http://terminology.hl7.org/ValueSet/v2-0930,10,2.8.2,2.9,2
0569,User,Adjustment Action,Table of codes used to specify the action requested of a party that receives an adjustment.,AdjustmentAction,fm,Example (1),ADJ-11,,,2.16.840.1.113883.12.569,2.16.840.1.113883.18.369,http://terminology.hl7.org/CodeSystem/v2-0569,2.16.840.1.113883.21.386,http://terminology.hl7.org/ValueSet/v2-0569,10,2.6,2.9,1
0570,User,Payment Method Code,Table of codes used to specify the method for the movement of payment.,PaymentMethodCode,fm,Example (1),PMT-4,,,2.16.840.1.113883.12.570,2.16.840.1.113883.18.370,http://terminology.hl7.org/CodeSystem/v2-0570,2.16.840.1.113883.21.387,http://terminology.hl7.org/ValueSet/v2-0570,10,2.6,2.9,1
0571,User,Invoice Processing Results Status,Table of codes used to specify the processing status for an Invoice Processing Result.,InvoiceProcessingResultsStatus,fm,Example (1),IPR-4,,,2.16.840.1.113883.12.571,2.16.840.1.113883.18.371,http://terminology.hl7.org/CodeSystem/v2-0571,2.16.840.1.113883.21.388,http://terminology.hl7.org/ValueSet/v2-0571,10,2.6,2.9,1
0572,User,Tax status,Table of codes used to specify the tax status of a provider.,TaxStatus,fm,Example (1),IVC-28,,,2.16.840.1.113883.12.572,2.16.840.1.113883.18.372,http://terminology.hl7.org/CodeSystem/v2-0572,2.16.840.1.113883.21.389,http://terminology.hl7.org/ValueSet/v2-0572,10,2.6,2.9,1
0615,HL7,User Authentication Credential Type Code,HL7-defined table of codes specifying a type of user authentication credential.,UserAuthenticationCredentialTypeCode,inm,Universal (3),UAC-1,,,2.16.840.1.113883.12.615,2.16.840.1.113883.18.373,http://terminology.hl7.org/CodeSystem/v2-0615,2.16.840.1.113883.21.390,http://terminology.hl7.org/ValueSet/v2-0615,10,2.6,2.9,1
0616,User,Address Expiration Reason,"Table of codes specifying the reason this address was marked as ""ended"".",AddressExpirationReason,inm,Representative (2),XAD.15,,,2.16.840.1.113883.12.616,2.16.840.1.113883.18.374,http://terminology.hl7.org/CodeSystem/v2-0616,2.16.840.1.113883.21.391,http://terminology.hl7.org/ValueSet/v2-0616,10,2.6,2.9,1
0617,HL7,Address Usage,HL7-defined table of codes specifying how an address is intended to be used.,AddressUsage,inm,Universal (3),XAD.18,,,2.16.840.1.113883.12.617,2.16.840.1.113883.18.375,http://terminology.hl7.org/CodeSystem/v2-0617,2.16.840.1.113883.21.392,http://terminology.hl7.org/ValueSet/v2-0617,10,2.6,2.9,1
0618,User,Protection Code,Table of codes specifying that an address needs to be treated with special care or sensitivity.,ProtectionCode,inm,Example (1),"XAD.22, XTN.16",,,2.16.840.1.113883.12.618,2.16.840.1.113883.18.376,http://terminology.hl7.org/CodeSystem/v2-0618,2.16.840.1.113883.21.393,http://terminology.hl7.org/ValueSet/v2-0618,10,2.6,2.9,1
0625,User,Item Status Codes,Table of codes specifying the state of an inventory item within the context of an inventory location.,ItemStatusCodes,oo,Representative (2),IVT-6,,,2.16.840.1.113883.12.625,2.16.840.1.113883.18.377,http://terminology.hl7.org/CodeSystem/v2-0625,2.16.840.1.113883.21.394,http://terminology.hl7.org/ValueSet/v2-0625,10,2.6,2.9,1
0634,User,Item Importance Codes,Table of codes that denote a level or importance of an inventory item within the context of an inventory location.,ItemImportanceCodes,oo,Example (1),IVT-14,,,2.16.840.1.113883.12.634,2.16.840.1.113883.18.378,http://terminology.hl7.org/CodeSystem/v2-0634,2.16.840.1.113883.21.395,http://terminology.hl7.org/ValueSet/v2-0634,10,2.6,2.9,1
0642,User,Reorder Theory Codes,Table of codes specifying the calculation method used to determine the resupply schedule.,ReorderTheoryCodes,oo,Example (1),IVT-21,,,2.16.840.1.113883.12.642,2.16.840.1.113883.18.379,http://terminology.hl7.org/CodeSystem/v2-0642,2.16.840.1.113883.21.396,http://terminology.hl7.org/ValueSet/v2-0642,10,2.6,2.9,1
0651,User,Labor Calculation Type,Table of codes specifying the method used to calculate employee labor and measure employee productivity.,LaborCalculationType,oo,Example (1),SCP-2,,,2.16.840.1.113883.12.651,2.16.840.1.113883.18.380,http://terminology.hl7.org/CodeSystem/v2-0651,2.16.840.1.113883.21.397,http://terminology.hl7.org/ValueSet/v2-0651,10,2.6,2.9,1
0653,User,Date Format,Table of codes specifying the date format for a decontamination/sterilization instance.,DateFormat,oo,Representative (2),SCP-3,,,2.16.840.1.113883.12.653,2.16.840.1.113883.18.381,http://terminology.hl7.org/CodeSystem/v2-0653,2.16.840.1.113883.21.398,http://terminology.hl7.org/ValueSet/v2-0653,10,2.6,2.9,1
0657,User,Device Type,Table of codes specifying the kind of device as defined by the manufacturer.,DeviceType,oo,Example (1),SCP-7,,,2.16.840.1.113883.12.657,2.16.840.1.113883.18.382,http://terminology.hl7.org/CodeSystem/v2-0657,2.16.840.1.113883.21.399,http://terminology.hl7.org/ValueSet/v2-0657,10,2.6,2.9,1
0659,User,Lot Control,Table of codes specifying whether the sterilization load for a device is built in the sub-sterile area adjacent to an Operating Room or the Central Processing Department.,LotControl,oo,Example (1),SCP-8,,,2.16.840.1.113883.12.659,2.16.840.1.113883.18.383,http://terminology.hl7.org/CodeSystem/v2-0659,2.16.840.1.113883.21.400,http://terminology.hl7.org/ValueSet/v2-0659,10,2.6,2.9,1
0667,User,Device Data State,Table of codes specifying the state of the data as provided from a device.,DeviceDataState,oo,Representative (2),SDD-4,,,2.16.840.1.113883.12.667,2.16.840.1.113883.18.384,http://terminology.hl7.org/CodeSystem/v2-0667,2.16.840.1.113883.21.401,http://terminology.hl7.org/ValueSet/v2-0667,10,2.6,2.9,1
0669,User,Load Status,Table of codes specifying the status of the information provided in a device sterilization or decontamination cycle.,LoadStatus,oo,Representative (2),SDD-5,,,2.16.840.1.113883.12.669,2.16.840.1.113883.18.385,http://terminology.hl7.org/CodeSystem/v2-0669,2.16.840.1.113883.21.402,http://terminology.hl7.org/ValueSet/v2-0669,10,2.6,2.9,1
0682,User,Device Status,Table of codes specifying the state of a device.,DeviceStatus,oo,Example (1),SCD-10,,,2.16.840.1.113883.12.682,2.16.840.1.113883.18.386,http://terminology.hl7.org/CodeSystem/v2-0682,2.16.840.1.113883.21.403,http://terminology.hl7.org/ValueSet/v2-0682,10,2.6,2.9,1
0702,User,Cycle Type,Table of codes specifying the type of cycle that is being executed.  A cycle type is a specific sterilization method used for a specific type of supply item.,CycleType,oo,Example (1),SCD-28,,,2.16.840.1.113883.12.702,2.16.840.1.113883.18.387,http://terminology.hl7.org/CodeSystem/v2-0702,2.16.840.1.113883.21.404,http://terminology.hl7.org/ValueSet/v2-0702,10,2.6,2.9,1
0717,User,Access Restriction Value,Table of codes specifying the policies governing the information to which access is controlled.,AccessRestrictionValue,pa,Example (1),ARV-3,,,2.16.840.1.113883.12.717,2.16.840.1.113883.18.388,http://terminology.hl7.org/CodeSystem/v2-0717,2.16.840.1.113883.21.405,http://terminology.hl7.org/ValueSet/v2-0717,10,2.6,2.9,1
0719,HL7-EXT,Access Restriction Reason Code,"Table of codes specifying the reason for the restricted access.  Note these codes are maintained within HL7, but outside of Version 2.",AccessRestrictionReasonCode,pa,Example (1),ARV-4,,,2.16.840.1.113883.12.719,2.16.840.1.113883.5.4,,2.16.840.1.113883.1.11.20428,http://terminology.hl7.org/ValueSet/v2-0719,10,2.6,2.9,3
0725,HL7,Mood Codes,HL7-defined table of codes specifying the functional state of an order.,MoodCodes,oo,Universal (3),"RXO-31, OBX-22",,,2.16.840.1.113883.12.725,2.16.840.1.113883.5.1001,,2.16.840.1.113883.21.407,http://terminology.hl7.org/ValueSet/v2-0725,10,2.6,2.9,2
0728,HL7,CCL Value,Table of codes specifying the clinical complexity level (CCL) value for the determined diagnosis related group (DRG) for this diagnosis.  US Realm.,CclValue,fm,Universal (3),DG1-23,,,2.16.840.1.113883.12.728,2.16.840.1.113883.18.391,http://terminology.hl7.org/CodeSystem/v2-0728,2.16.840.1.113883.21.408,http://terminology.hl7.org/ValueSet/v2-0728,10,2.6,2.9,1
0731,HL7,DRG Diagnosis Determination Status,HL7-defined table of codes specifying the status of a diagnosis for a diagnosis related group (DRG) determination. US Realm.,DrgDiagnosisDeterminationStatus,fm,Universal (3),DG1-25,,,2.16.840.1.113883.12.731,2.16.840.1.113883.18.392,http://terminology.hl7.org/CodeSystem/v2-0731,2.16.840.1.113883.21.409,http://terminology.hl7.org/ValueSet/v2-0731,10,2.6,2.9,1
0734,User,Grouper Status,Table of codes specifying the status of a grouper in general. US Realm.,GrouperStatus,fm,Example (1),DRG-13,,,2.16.840.1.113883.12.734,2.16.840.1.113883.18.393,http://terminology.hl7.org/CodeSystem/v2-0734,2.16.840.1.113883.21.410,http://terminology.hl7.org/ValueSet/v2-0734,10,2.6,2.9,1
0739,User,DRG Status Patient,Table of codes specifying whether the length of stay is normal or respectively shorter or longer than normal.,DrgStatusPatient,fm,Example (1),DRG-17,,,2.16.840.1.113883.12.739,2.16.840.1.113883.18.394,http://terminology.hl7.org/CodeSystem/v2-0739,2.16.840.1.113883.21.411,http://terminology.hl7.org/ValueSet/v2-0739,10,2.6,2.9,1
0742,User,DRG Status Financial Calculation,Table of codes specifying the status of the diagnosis related group (DRG) calculation regarding the financial aspects. US Realm.,DrgStatusFinancialCalculation,fm,Representative (2),DRG-20,,,2.16.840.1.113883.12.742,2.16.840.1.113883.18.395,http://terminology.hl7.org/CodeSystem/v2-0742,2.16.840.1.113883.21.412,http://terminology.hl7.org/ValueSet/v2-0742,10,2.6,2.9,1
0749,User,DRG Grouping Status,Table of codes specifying the status of the use of the gender information for diagnosis related group (DRG) determination. US Realm.,DrgGroupingStatus,fm,Representative (2),DRG-26,,,2.16.840.1.113883.12.749,2.16.840.1.113883.18.396,http://terminology.hl7.org/CodeSystem/v2-0749,2.16.840.1.113883.21.413,http://terminology.hl7.org/ValueSet/v2-0749,10,2.6,2.9,1
0755,User,Status Weight At Birth,Table of codes specifying the status of the use of the weight at birth for diagnosis related group (DRG) determination.  US Realm.,StatusWeightAtBirth,fm,Example (1),DRG-31,,,2.16.840.1.113883.12.755,2.16.840.1.113883.18.397,http://terminology.hl7.org/CodeSystem/v2-0755,2.16.840.1.113883.21.414,http://terminology.hl7.org/ValueSet/v2-0755,10,2.6,2.9,1
0757,User,DRG Status Respiration Minutes,Table of codes specifying the status of the use of the respiration minutes information for diagnosis related group (DRG) determination.  US Realm.,DrgStatusRespirationMinutes,fm,Example (1),DRG-32,,,2.16.840.1.113883.12.757,2.16.840.1.113883.18.398,http://terminology.hl7.org/CodeSystem/v2-0757,2.16.840.1.113883.21.415,http://terminology.hl7.org/ValueSet/v2-0757,10,2.6,2.9,1
0759,User,Status Admission,Table of codes specifying the admission status for the diagnosis related group (DRG) determination. US Realm.,StatusAdmission,fm,Representative (2),DRG-33,,,2.16.840.1.113883.12.759,2.16.840.1.113883.18.399,http://terminology.hl7.org/CodeSystem/v2-0759,2.16.840.1.113883.21.416,http://terminology.hl7.org/ValueSet/v2-0759,10,2.6,2.9,1
0761,User,DRG Procedure Determination Status,Table of codes specifying the status of the use of this particular procedure for the diagnosis related group (DRG) determination.  US Realm.,DRGProcedureDeterminationStatus,fm,Example (1),PR1-21,,,2.16.840.1.113883.12.761,2.16.840.1.113883.18.400,http://terminology.hl7.org/CodeSystem/v2-0761,2.16.840.1.113883.21.417,http://terminology.hl7.org/ValueSet/v2-0761,10,2.6,2.9,1
