"Issue Type","Key","Status","Resolution","Summary","Reporter","Created","Updated","Priority","Assignee","Parent key","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments"
"Change Request","UP-106","Waiting for Input","","Add Indigenous Spirituality to ReligiousAffiliation","fflores","2018-11-02 07:50","2020-09-22 11:21","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","2020-09-22 10:41;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2020-09-22 10:41;tedhl7geek;Seems to have erroneously imported from the FHIR project to the UTG project to the incorrect State.  Should all be in Waiting For Input state.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-105","Proposal Draft","Not Persuasive","Make display for Timing more descriptive","fflores","2018-09-06 10:45","2021-04-23 02:53","Medium","carmela_couderc","","","","","","","","","","","","","","","","","","","","","","","","","2018-09-10 03:34;rhausam;2018-09-10 Discussed on Vocab FHIR Tracker Issues call (see proposed resolution).","2021-04-23 11:10;tedhl7geek;There is a problem with this UP ticket.    Tickets CAN NOT enter Content Check without having gone through Proposal Draft state first and the content changes drafted and attached to the ticket.    Upon research, this tickets appears to have been imported from elsewhere, as it shows a state of 'Triaged' in the history, but no such state exists in the UP workflow.    Research is continuing to find out what occurred and put something into place so this cannot happen again.   [~lloyd] [~carmela_couderc] did either of you import this ticket from elsewhere?  If so, the destination state cannot be Content Check, as the ticket has zero content as iit stands.    This must be assigned to a person to draft the changes, and it must be put into Proposal Draft for the changes to be made and attached.","2021-04-23 11:16;carmela_couderc;Hi [~tedhl7geek] It looks like I moved this from FHIR to UP in September 2020. Finnie Flores entered the original ticket. Since I'm the person who goofed up, I will help get this going. Is the first step to assign th ticket to Finnie? Would you prefer that this ticket be closed and another entered?","2021-04-23 11:30;tedhl7geek;Ok thanks Carmela.   For future reference, the only two states that anything can be imported from the FHIR or HTA Jira workflows are Proposal Draft and Waiting For Input.   I'll move this to Proposal Draft and assign to you, and you can decide how you want to dispose of it (ie draft changes, move it to Change Not Needed, Abandon, etc.)","2021-04-23 11:32;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2021-04-23 11:32;tedhl7geek;Change(s) to be made must be drafted and attached to ticket.","2021-04-23 02:53;lloyd;Same issues as the previous one. [~carmela_couderc] moved this from a FHIR item to UTG instead of creating a new UTG item and linking the FHIR tracker item to it.  Documentation has been updated to make it clear what the correct process is going forward.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-104","Waiting for Input","","OID missing for urn:ietf:bcp:47 (2.16.840.1.113883.6.316)","ahenket","2019-02-08 11:42","2020-09-22 11:20","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","2020-09-22 10:41;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2020-09-22 10:41;tedhl7geek;Seems to have erroneously imported from the FHIR project to the UTG project to the incorrect State.  Should all be in Waiting For Input state.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-103","Waiting for Input","","Update description for Christian in ReligiousAffiliation","fflores","2018-11-07 07:46","2020-09-23 07:46","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","2020-09-22 10:41;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2020-09-22 10:41;tedhl7geek;Seems to have erroneously imported from the FHIR project to the UTG project to the incorrect State.  Should all be in Waiting For Input state.","2020-09-23 07:46;rhausam;9/23/2020 Vocab WG WGM session
Now that UTG (terminology.hl7.org) is going live this week, the code can be added to the underlying code system and value set as part of the UTG process.

https://confluence.hl7.org/display/VOC/Vocabulary+Maintenance+at+HL7

All documentation can be accessed from that link.  In particular, see the section Change Proposal Submission.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-102","Waiting for Input","","Code system used but not defined","mjlawley","2019-05-21 02:40","2020-09-22 11:23","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","2019-06-03 02:01;rgeimer;Reassigning to vocab","2019-12-10 02:02;mjlawley;nudge :)","2020-01-23 03:28;rhausam;Will plan to discuss in Sydney.","2020-06-29 04:53;mjlawley;It seems the CodeSystem has been created, but the ValueSet has not been updated.

 ","2020-09-22 10:41;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2020-09-22 10:41;tedhl7geek;Seems to have erroneously imported from the FHIR project to the UTG project to the incorrect State.  Should all be in Waiting For Input state.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-101","Withdrawn","Retracted","Update identifier-type value set","shamil","2019-12-13 12:34","2022-02-15 11:57","Medium","j_harper","","https://confluence.hl7.org/pages/viewpage.action?pageId=90344254","","","","","","","","","","","","","","","","","","","","","","","2020-09-22 10:41;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: 
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: 
Negative Voters: ","2020-09-22 10:41;tedhl7geek;Seems to have erroneously imported from the FHIR project to the UTG project to the incorrect State.  Should all be in Waiting For Input state.","2021-12-22 11:13;sheridancook;[~tedhl7geek] can you confirm what input is needed to move this through? We're using this identifier type in a handful of our Canadian guides and would prefer not to make a unique coding system to pass the validator when we have users that want to support both JPID & JHN","2021-12-22 01:09;tedhl7geek;[~sheridancook] you need to Draft A Proposal, which consists pf defining the changes needed in the xml resources.  As this is an HL7 V2 table, you will need probably the INM workgroup to sponsor the change proposal; if the additions are purely for Canada, I am not sure there is a process for sponsorship of a terminology change in the THO set by an Affiliate - no defined process so you would have to go through TSMG (do you agree [~jsnell] and [~reuben.daniels]?)     see the pages linked on the page about Vocabulary Maintenance at HL7 [https://confluence.hl7.org/display/VMAH/Vocabulary+Maintenance+at+HL7] 

Mote that [~j_harper] at Infoway has done many UTG proposals for fixes or enhancements to the terminology, and has good knowledge of the entire process.","2021-12-30 11:32;sheridancook;[~tedhl7geek] - thanks for the clarification. We've put in the request with [~j_harper] who will be putting together the proposal. Cheers!","2022-01-31 10:16;j_harper;I have made the changes to the codesystem cs-v2-0203 (_HL7v2 Table 0203 Identifier Type_) to add an identifier for JPID.  

Please review the changes.","2022-02-02 12:31;lloyd;The definition for the new code is poor.  What does it mean?  How is it different from a JHN?  Do JPIDs span patient and practitioner roles?","2022-02-02 01:14;jduteau;Can you provide examples of a Canadian JPID?  The description “Federal Identifier that can be used along with Jurisdictional Health Number” isn’t clear enough for me.  Is this a Passport number?  A Driver’s License number? A treaty number?  All of those already have codes.  As well, I’m confused by the use of the term “Federal” since that applies a specific jurisdiction that might be Canadian-specific.","2022-02-02 02:53;sheridancook;[~lloyd] [~jduteau] This request follows the [analysis work|https://infocentral.infoway-inforoute.ca/en/forum/266-fhir-implementations/2171-call-to-review-namingsystem-profile] that was completed previously to type the identifiers used in the Canadian NamingSystem Registry. A need arose to distinguish identifiers in use in Canadian systems from the JHN that is defined as a provincial health card number. Use of this type is intended to span identifiers that are issued under federal jurisdictions as well as provincial jurisdictions to a person it is not intended to be isolated to identifiers issued for healthcare delivery purposes but it's important to note that this type of identifier may be used within those workflows. 

The following are examples that fell under the proposed type of JPID from the efforts of the Canadian URI Registry: [Canada, Social Insurance Number;|https://simplifier.net/canadianuriregistry/ca-social-insurance-number] [Interim Federal Health Program Identifier, |https://simplifier.net/canadianuriregistry/ca-interim-federal-health-id] [Indigenous and Northern Affairs Canada number|https://simplifier.net/canadianuriregistry/ca-indigenous-northern-affairs-number]

In the last year - this type has been requested and used by implementers looking to type identifiers that are assigned by provincial jurisdictional assets (e.g., myHealthNB) that are distinct from the health card number that person might have within the jurisdiction, but may be similarly needed to retrieve data for the person using that identifier. 

Rather than have profilers and implementers using this type either provide no code system or a local system to get around errors from trying to claim this type - we're requesting it's inclusion in the v2-0203 code system.","2022-02-02 02:49;jduteau;But there are already Identifier type codes for those.  We already have PN - Person Number, TN - Treaty Number, etc.  I'm still confused over how this differs from those.","2022-02-02 03:26;sheridancook;Many of the types in the code system could fall under the definition of Person Number (""A number that is unique to a living subject within an Assigning Authority."") - The presence of over 70+ codes in the existing code systems shows precedence that granularity matters for identifier type.  

For our implementers in Canada - this type has been used to further differentiate identifiers in the registry for 3+ years, and more recently is starting to be used by jurisdictions working with legacy systems that want to maintain that differentiation (between business identifiers, health card #s, and identifiers that have been issued by federal and provincial programs) when they begin to model their data in FHIR. The desire to obtain this separate type is also felt by FHIR profilers wanting to apply expectations for how/when certain identifier types are used - slices differentiating between JHN, JPID, etc. are in use by the Canadian base specification, provincial base specifications, and other regional and use case driven specs in Canada.

 ","2022-02-02 03:47;jduteau;I still don't understand the need for this code.  You say that you want more granularity than existing codes but this is not a very granular code given the types of identifiers that would fall under this.

For future implementers who wanted to specify the type of identifier for an Indigenous and Northern Affairs Canada number, how would they possibly know that JPID vs TN vs PN?

It just seems to me that existing codes would satisfy the requirement, especially since Identifier types are intended to be general categories and the identifier system tells you exactly what the identifier is for.","2022-02-02 04:48;lloyd;There's already an identifier type that covers ""Social Beneficiary Numbers"" - of which U.S. SSN and Canadian SIN are examples.  We don't want types that overlap if we can possibly avoid it.  So if we're adding something new, it would need to explicitly exclude SBNs.  In any case, if this is going to be allowed for use with FHIR, the definition needs to make clear what's in, what's out and ensure it doesn't overlap with the existing identifier types.","2022-02-15 11:57;j_harper;We have discussed this issue in the HL7 Canada Community and will be withdrawing this request.","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-100","Change Not Needed","","Fix UCUM to be Correct per HTA","jsnell","2020-09-21 07:54","2021-01-13 08:39","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-99","Proposal Implemented","Done","Change meta data and url for ICD-10-CA and CCI CodeSystems and NamingSystems","jfrancis","2020-09-15 10:07","2022-04-25 11:00","Medium","jfrancis","","https://confluence.hl7.org/pages/viewpage.action?pageId=91993074","","","","","","","","","","","","","","","","","","","","","","","2020-09-15 11:16;jfrancis;[~tedhl7geek]  Changes committed to branch","2020-09-16 08:17;tedhl7geek;Sorry for the continuing delay but we are having issues with the ci build environment and machine.  Hope to have this in Consensus Review for you soon.

 ","2020-09-22 03:15;jfrancis;[~amaclean], [~cmacumber], [~kdavison], [~Rongparker], [~carmela_couderc], [~Rob_McClure], [~jsnell] can you please vote on our ticket to align metadata of the ICD-10-CA and CCI CodeSystems.","2020-09-22 04:31;cmacumber;Should ""Cci"" be ""CCI""?","2020-09-22 04:33;cmacumber;...and ""Icd10CA"" be ""ICD10CA""","2020-09-23 06:25;jsnell;[~jfrancis], a few notes for suggested changes:
 # (Required) The version value must be incremented for all artifacts. Change in URI is major (i.e. 2.0.0 to 3.0.0)  but since this is under HTA's oversight, I think [~cmacumber] or someone else should confirm. This is more my fault that you didn't know because we updated your versions in the past (we didn't notice they were incorrect initially). We should have informed you. 
 # I suggest updating the date value to the edited or approved date.
 # For the Naming Systems, it is helpful to add effective dates for the URIs, I have an example here (see in rendering and XML): [https://build.fhir.org/ig/HL7/UTG/branches/UP-96-fix-dicom-to-be-correct-per-hta/NamingSystem-v3-DCM.html]
 # I like Carol's suggestions above for the name changes.","2020-09-23 02:10;Rob_McClure;[~jfrancis] Agree with the comments noted above. I am also concerned about the chosen final Canonical URLs. You have chosen to use the url that currently identifies the CCI code system to now (and forever) identify ICD-10-CA. I understand that url does indeed have the ICD-10-CA phrase in it but I would assume that the confusion by reusing an identifier actually makes things worse. Why not use a completely new url as you are doing for the new CCI code system identifier?","2020-09-24 06:29;jfrancis;Thank you [~jsnell] and [~cmacumber] for the detailed explanation on the changes required. Much appreciated. I have made the proposed changes :)

Just want to confirm with [~tedhl7geek] that changing the ""name"" element field in the CodeSystem stub addresses the lower case/upper case naming issues. i.e, Cci to CCI? Is there any other place I need to make the changes?","2020-09-24 06:26;jfrancis;[~Rob_McClure] thank you for the comment and feedback. The issue of the CCI CodeSystem pointing to ICD-10-CA is a mistake prior to my submission of proposal(pre implementation). 

Once this proposal is implemented CCI uri : [http://cihi.ca/fhir/CodeSystem/cihi-cci] instead of [http://hl7.org/fhir/sid/icd-10-ca.|http://hl7.org/fhir/sid/icd-10-ca]

I wasn't sure how this error with the meta data was made in the first place. Does this help?

 

 ","2020-09-24 09:33;jfrancis;[~tedhl7geek] changes made and committed. I had some difficulty for  SourceTree picking up a change and removing  blank space helped me.  I replaced end date with an empty string. Hopefully that doesn't break the build.","2020-09-24 10:46;Rob_McClure;That explains the provenance of the current state, but does not address my concern with respect to the fact that the mistake is in current production use. I'm suggesting you *do not reuse and change the meaning of* the existing canonical url. And honestly I'm not sure _why_ you would want to use that one anyway.","2020-09-25 01:06;tedhl7geek;It is my understanding that we need to approach changing any canonical URLs that are rooted in hl7.org/fhir with extreme caution (unlike those generated by the v3 coremif import into UTG rooted in terminology.hl7.org) as we don't know how many production systems they may be currently used in.   I do not know how best to figure this out; perhaps [~lloyd] can offer some insight here.","2020-09-25 01:55;lloyd;Agree.  As a rule, cannonical URLs should *never* change once they're established.  We can add a link to the current authoritative source in the NamingSystem, but changing canonical URLs breaks interoperability","2020-09-28 08:58;jfrancis;[~tedhl7geek] [~lloyd]n [~Rob_McClure]

What I don't understand is that this URL was perhaps made up at a connectathon and systems ought to be using the OID instead until the authoritative source in question publishes a valid URI. This URI points to a whole different CodeSystem than what was actually intended.  

So what I am hearing is do not change the URI but perhaps in the description of the NamingSystem resource mention the correct URI as the authoritative source?

cc: [~amaclean]

 ","2020-09-28 09:18;lloyd;Someone submitted a formal request to register the URL.  Now that it's registered, it is significantly problematic to change it - unless you're confident that no existing implementations are using it (which is unlikely given that the URL got registered a while ago).  If there's a registered URL, then you can't use an OID to identify the code system in FHIR - and our general objective is to use URLs in place of OIDs wherever possible because OIDs are much harder to work with for implementers and the cost of managing the conversion (using NamingSystem) is less than the long-term cost of continuing to use OIDs.  We can absolutely update the NamingSystem to point to the current authoritative URL for source-of-truth.  (Those URLs change semi-often.)","2020-09-28 12:41;Rob_McClure;[~lloyd] honestly, this is starting to border on the absurd. The url that I asked [~jfrancis] about was for CCI and ends in icd-10-ca. So we are clear, are you saying that the canonical url for CCI *MUST* be the url that ends in icd-10-ca because it was that before and then we'll have a different one that also ends in icd-10-ca for the actual icd-10-ca? Let's not talk in theoretical absolutes. Lloyd, please indicate what you are advocating for explicitly. ","2020-09-28 02:09;lloyd;Ok, so I think the first question here is: where did these URLs come from and where have they previously been published?

""http://hl7.org/fhir/sid/icd-10-ca"" *looks* like something that was registered with FHIR, but I can't see any reference to it in the FHIR core spec.  It's also not something the FHIR server currently recognizes, which suggests it was never registered.  On the other hand, I see no indication that ""http://terminology.hl7.org/CodeSystem/icd10-CA"" was ever previously published in the FHIR spec before UTG got stood up.  In order to know which URL should survive, we need to understand what's been published where & when and, most importantly, what's most likely in use in real systems.  Whatever we choose as 'official' should be the one most likely to be in use (and should act expediently to remove all references saying anything else, except as something deprecated.

In terms of [http://hl7.org/fhir/sid/icd-10-ca] showing up as a URL for CCI, we need to understand where that came from too.  If it was just an error in standing up UTG, then fixing it is a simple technical correction.  It seems unlikely that any implementer would ever have used this as a URL for CCI, so the risk to fixing it is small.","2020-09-28 03:31;tedhl7geek;I can unequivocally state that the URL ""http://terminology.hl7.org/CodeSystem/icd10-CA"" was algorithmically created by the coremif import into UTG, and was not published anywhere prior to the 1.0.0 release in April 2020.   The only reason this should IMHO stay in the NamingSystem track for it as an old and non-preferred identifier is we simply do not know if anyone picked it up from the HL7 Terminology release in the past five months and used it - but the likelihood is low.","2020-09-29 06:48;jfrancis;After many discussions with [~tedhl7geek], I understood the format ""http://terminology/something"" to be a placeholder until a valid URI existed and the metadata was changed explicitly to reflect the change. 

The current CCI description which is also not entirely accurate was taken from the description in the HL7 OID registry from 2009. If the URL was stood up in error, can we proceed with the current proposal to implement the change in the URI and description?

 

 

 ","2020-09-30 11:46;jfrancis;[~tedhl7geek]  [~Rob_McClure] [~lloyd] We have raised the issue of the URL in production on the various Canadian forums and have received no comments thus far.  Therefore it is our intention to make the changes as per the proposal and not perpetuate the mistake how/when ever it may have occurred. 

Would you please kindly consider voting in favour of this change.

 

cc [~amaclean] [~Rongparker] [~j_harper] [~jsnell] [~cmacumber]","2020-09-30 11:55;jsnell;[~jfrancis], one more fix request. On the effective date period you added for the Naming Systems, I think the end date should be removed. This will indicate that the identifier was established for use on 9/24 and is considered effective with no end date in sight. 

<period>

<start value=""2020-09-24"" />

{color:#de350b}<end value=""2020-09-24"" /> {color}

</period>

Thanks! Nice work on this proposal. ","2020-09-30 12:10;jfrancis;[~jsnell] thanks for catching this but I actually removed the end dates on the last commit and it does not seem to reflect even after the commit and push. I have no error whatsoever on my end. 

I have done two new commits a few minutes ago but it still shows 3 commits 6 days ago on the ticket. 

 

!commit not reflected.PNG!","2020-09-30 12:15;jsnell;[~jfrancis], I have also experienced some similar behavior. Hoping [~Josh] or [~tedhl7geek] can chime in or help troubleshoot. ","2020-09-30 02:28;Rongparker;As the Chair of HL7 Canada and an International voter I would like to support this Change Proposal.  However, I can find no place on this page to me to actually register a vote.  I don't vote here often so I may be missing something, I do note that in the Votes On line it seems to be marked as complete.

It would be helpful (for future votes) if you can confirm that voting is now considered ""Complete"" and that is why there is no vote option.

Thanks!  [~Rongparker]","2020-09-30 03:55;Rob_McClure;[~jfrancis] I'm starting to wear down, but you have not explain why Canada is desperate to have a FHIR base url - [http://hl7.org/fhir/sid/icd-10-ca] - for the Canadian ICD-10. I asked you to pick something different. Perhaps something the actual authority wants - do you represent CIHI and they have requested this FHIR base be used to represent their code system? I'd not push back, _but it was mistakenly used to represent CCI in the past._ So please confirm the CIHI wants this.","2020-10-01 09:18;jfrancis;Hi [~Rob_McClure]

Sorry to hear that this is wearing you out. According to CIHI, the url - [http://hl7.org/fhir/sid/icd-10-ca]  was assigned with CIHI's support and could be traced to tracker item 13111 in gForge, though this is no longer accessible as the platforms have switched. I have reached out to the Jira webmaster and [~tedhl7geek] to see it the tracker item can be pulled up. 

I can assure you that Canada Health Infoway is making these proposed changes only after consulting directly with representatives of CIHI. This is what CIHI intends.

 

cc:  [~amaclean] [~fflores]","2020-10-01 09:16;Rob_McClure;Just one straw in the bale [~jfrancis], no worries because that is what I needed to know. You have my vote.","2020-10-01 09:21;jfrancis;Thanks [~Rob_McClure] (y)","2020-10-01 09:26;lloyd;Using HL7-managed SIDs is an appropriate mechanism for identifying external objects, especially if there's any concern about the ability of the organization to maintain stable resolution of the URL (stable =many decades of zero change).  HL7 SIDs can be guaranteed to resolve - and we can always have them point to changing locations.","2020-10-01 09:48;jfrancis;[~lloyd] can you please explain this concept with an existing concrete example? I am not able to follow. 

cc: [~amaclean]","2020-10-01 09:53;jfrancis;[~Josh] [~tedhl7geek], now that we have received consensus, can you please advise regarding the commit issues. ","2020-10-01 09:58;lloyd;HL7 has committed to the SID links resolving - presumably to the associated NamingSystem resource.  NamingSystem.description can include a hyperlink that refers to the 'current' web page for guidance on use, instructions for getting current content, etc. from the ""source of truth"".  If/when the location of the appropriate website(s) change, the NamingSystem can be updated.  None of that changes the URL used in instances - which remains the SID URI.","2020-10-01 12:35;jfrancis;Thank you [~lloyd] (y)

 ","2020-10-08 07:52;tedhl7geek;All updated and Provenance hx tracking verified"
"Change Request","UP-98","Environment Setup","","Add ActCode_Act PolicyType.SecurityPolicy_SecurityLaw and children","k.connor","2020-09-12 05:20","2021-01-13 08:39","Medium","k.connor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-97","Environment Setup","","Add DRAFTMark as leaft concept to ActCode_ActPolicyType","k.connor","2020-09-12 12:48","2021-01-13 08:39","Medium","k.connor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-96","Proposal Implemented","Done","Fix DICOM to be Correct per HTA","jsnell","2020-09-02 02:40","2022-04-25 11:05","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2020-09-04 11:47;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: Caroline Macumber
Required Votes: 15
Positive Votes: 2 
Total Votes Cast: 2
Super Vote Weight: 3
OSG Vote Weight: 2
Super Voters: lloyd, tedhl7geek
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: Yes
OSGVoter International Requirement Met: No
OSGVoter Requirement Met: No
OSGVoter Vocabulary Requirement Met: Yes
Positve Voters: Caroline Macumber
Negative Voters: ","2020-09-04 11:47;tedhl7geek;Error introduced on the edit of the code value creating duplicate codes where are illegal.  Error in build is:  

**
h2. /Users/tedklein/Documents/tedhl7/vocabulary/Projects/UTG/gitImages/in-flight/UP-94/input/sourceOfTruth/v3/codeSystems/v3-ActCode.xml
|*Path*|*Severity*|*Message*|
|*CodeSystem/v3-ActCode: CodeSystem*|*Process Info*|*Validate resource against profile http://hl7.org/fhir/StructureDefinition/CodeSystem*|
|*CodeSystem/v3-ActCode: CodeSystem*|*error*|*csd-1: Within a code system definition, all the codes SHALL be unique [concept.code.combine($this.descendants().concept.code).isDistinct()]*|
|*CodeSystem.where(id = 'v3-ActCode').concept.descendents().where(code = 'HIPAAConsent')*|*error*|*Duplicate Code HIPAAConsent*|
|*CodeSystem.where(id = 'v3-ActCode').concept.descendents().where(code = 'HIPAAConsent')*|*error*|*Duplicate Code HIPAAConsent*|","2020-09-04 11:48;tedhl7geek;oops","2020-10-19 09:05;cmacumber;No Naming System addition as a part of this update? 

I do see one in the current build - [https://build.fhir.org/ig/HL7/UTG/NamingSystem-v3-DCM.html] so maybe it's OK.","2020-10-19 09:27;jsnell;[~cmacumber], there is definitely some funky things going on. I updated the URI in the Naming System. It is strange that I can see it in the published example, but not in the 'commits': 

[https://build.fhir.org/ig/HL7/UTG/branches/UP-96-fix-dicom-to-be-correct-per-hta/NamingSystem-v3-DCM.html] 

The other issue is that in my published build, there is no Code System for DICOM at all! Looks like [~tedhl7geek] ran into some issues above, maybe they weren't resolved fully and that is why we are seeing these things. Ted, can you take a look?","2020-10-20 05:30;jsnell;[~cmacumber], it appears we just needed a list entry for the DICOM code system and that is why it was missing. Everything is looking as expected in the published build examples:

[https://build.fhir.org/ig/HL7/UTG/branches/UP-96-fix-dicom-to-be-correct-per-hta/NamingSystem-v3-DCM.html] 

[https://build.fhir.org/ig/HL7/UTG/branches/UP-96-fix-dicom-to-be-correct-per-hta/CodeSystem-v3-DCM.html] 

The 'commit' area is missing my first commit for some reason so we are still looking into that, but it shouldn't prevent us from moving this ticket forward. People are okay to continue review via published example and voting. ","2020-12-02 11:12;lloyd;Note: I'm approving a URL change here because we're correcting it to what has long been published.","2020-12-02 12:01;tedhl7geek;Note: I'm approving a URL change here because we're correcting it to what has long been published.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-94","Withdrawn","Won't Do","Fix HIPAA Consent Values","jafarim","2020-08-26 02:19","2021-01-13 08:39","Medium","jafarim","","","","","","","","","","","","","","","","","","","","","","","","","2020-08-26 02:20;jafarim;Put together initial test of the process.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-92","Proposal Implemented","Done","Add ParticipationFunction code System for CDA R2.0","LisaRNelson","2020-08-14 10:12","2022-04-25 10:58","Medium","LisaRNelson","","","","","","","","","","","","","","","","","","","","","","","","","2020-08-21 10:26;tedhl7geek;looks good","2020-08-21 10:27;tedhl7geek;History of vositing during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 15
Positive Votes:  
Total Votes Cast: 
Super Vote Weight: 3
OSG Vote Weight: 2
Super Voters: lloyd, tedhl7geek
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: No
OSGVoter International Requirement Met: No
OSGVoter Requirement Met: No
OSGVoter Vocabulary Requirement Met: No
Positve Voters: 
Negative Voters: ","2020-08-21 10:27;tedhl7geek;oops bad button click","2020-08-21 10:27;tedhl7geek;oops bad button click","2020-08-25 10:33;tedhl7geek;Integrated with ci build 1.0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
