Ch2c Table,Ch2c Concept Domain Info - Name,Ch2c Concept Domain Info - Symbolic Name,Ch2c Concept Domain Info - Description,Ch2c Concept Domain Info - Cd Only,Ch2c Cs Info - Oid,Ch2c Cs Info - Symbolic Name,Ch2c Cs Info - Description,Ch2c Cs Info - Full Name,Ch2c Cs Info - Utg Url,Ch2c Cs Info - Utg Name,Ch2c Cs Info - Table Oid,Ch2c Cs Info - Version Info,Ch2c Cs Info - Web Url,Ch2c Cs Info - Comments,Ch2c Cs Version Info - Effective Date,Ch2c Cs Version Info - Version,Ch2c Cs Version Info - Version Introduced,Ch2c Vs Version Info - Oid,Ch2c Vs Version Info - Symbolic Name,Ch2c Vs Version Info - Description,Ch2c Vs Version Info - Full Name,Ch2c Vs Version Info - Utg Url,Ch2c Vs Version Info - Cld,Ch2c Vs Version Info - Web Url,Ch2c Vs Version Info - Utg Name,Ch2c Vs Version Info - Utg Title,Ch2c Vs Version Info - Comments,Ch2c Binding Info - Realm,Ch2c Metadata - Table,Ch2c Metadata - Table Oid,Ch2c Metadata - Symbolic Name,Ch2c Metadata - Description,Ch2c Metadata - Type,Ch2c Metadata - Steward,Ch2c Metadata - Where Used,Ch2c Metadata - Version Introduced,Ch2c Metadata - Full Name,Ch2c Metadata - Utg Url
0694 -- Indication (RXA-19),DOM: 694,Indication,"The domain of possible values specifying the type of
Indication.",true,,,,,,,,,,,,,,,,,,,,,,,,,0694,2.16.840.1.113883.12.694,"",tbd,undefined,,RXA-19,,,
0695 -- Administered Drug Strength Volume Units (RXA-24),DOM: 695,AdministeredDrugStrengthVolumeUnits,"The domain of possible values specifying the type of Administered
Drug Strength Volume Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0695,2.16.840.1.113883.12.695,"",tbd,undefined,,RXA-24,,,
0696 -- Administered Barcode Identifier (RXA-25),DOM: 696,AdministeredBarcodeIdentifier,"The domain of possible values specifying the type of Administered
Barcode Identifier.",true,,,,,,,,,,,,,,,,,,,,,,,,,0696,2.16.840.1.113883.12.696,"",tbd,undefined,,RXA-25,,,
0697 -- Component Code (RXC-2),DOM: 697,ComponentCode,"The domain of possible values specifying the type of Component
Code.",true,,,,,,,,,,,,,,,,,,,,,,,,,0697,2.16.840.1.113883.12.697,"",tbd,undefined,,RXC-2,,,
0698 -- Component Units (RXC-4),DOM: 698,ComponentUnits,"The domain of possible values specifying the type of Component
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0698,2.16.840.1.113883.12.698,"",tbd,undefined,,RXC-4,,,
0699 -- Component Strength Units (RXC-6),DOM: 699,ComponentStrengthUnits,"The domain of possible values specifying the type of Component
Strength Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0699,2.16.840.1.113883.12.699,"",tbd,undefined,,RXC-6,,,
0700 -- Supplementary Code (RXC-7),DOM: 700,SupplementaryCode,"The domain of possible values specifying the type of Supplementary
Code.",true,,,,,,,,,,,,,,,,,,,,,,,,,0700,"2,16840111388313E+17","",tbd,undefined,,RXC-7,,,
0701 -- Component Drug Strength Volume Units (RXC-9),DOM: 701,ComponentDrugStrengthVolumeUnits,"The domain of possible values specifying the type of Component Drug
Strength Volume Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0701,"2,16840111388313E+17","",tbd,undefined,,RXC-9,,,
0702 -- Cycle Type,DOM: 702,CycleType,"The domain of possible values for the type of cycle that is being
executed. A cycle type is a specific sterilization method used for a
specific type of supply item.",false,2.16.840.1.113883.18.387,cycleType,"Code system of concepts specifying the type of cycle that is being
executed. A cycle type is a specific sterilization method used for a
specific type of supply item. Used in HL7 Version 2.x messaging in the
SCD segment.",Cycle Type Code System,http://terminology.hl7.org/CodeSystem/v2-0702,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.404,hl7VS-cycleType,"Value Set of codes that specify the type of cycle that is being
executed. A cycle type is a specific sterilization method used for a
specific type of supply item.",Cycle Type Value Set,http://terminology.hl7.org/ValueSet/v2-0702,all codes,,,,,example,0702,2.16.840.1.113883.12.702,Cycle Type,"Table of codes specifying the type of cycle that is being executed.
A cycle type is a specific sterilization method used for a specific type
of supply item.",User,OO,SCD-28,2.6,,
0703 -- Dispense Units (RXC-11),DOM: 703,DispenseUnits,"The domain of possible values specifying the type of Dispense
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0703,2.16.840.1.113883.12.703,"",tbd,undefined,,RXC-11,,,
0704 -- Actual Dispense Units (RXD-5),DOM: 704,ActualDispenseUnits,"The domain of possible values specifying the type of Actual Dispense
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0704,2.16.840.1.113883.12.704,"",tbd,undefined,,RXD-5,,,
0705 -- Actual Dosage Form (RXD-6),DOM: 705,ActualDosageForm,"The domain of possible values specifying the type of Actual Dosage
Form.",true,,,,,,,,,,,,,,,,,,,,,,,,,0705,2.16.840.1.113883.12.705,"",tbd,undefined,,RXD-6,,,
0706 -- Special Dispensing Instructions (RXD-15),DOM: 706,SpecialDispensingInstructions,"The domain of possible values specifying the type of Special
Dispensing Instructions.",true,,,,,,,,,,,,,,,,,,,,,,,,,0706,2.16.840.1.113883.12.706,"",tbd,undefined,,RXD-15,,,
0707 -- Actual Strength Unit (RXD-17),DOM: 707,ActualStrengthUnit,"The domain of possible values specifying the type of Actual Strength
Unit.",true,,,,,,,,,,,,,,,,,,,,,,,,,0707,2.16.840.1.113883.12.707,"",tbd,undefined,,RXD-17,,,
0708 -- Indication (RXD-21),DOM: 708,Indication,"The domain of possible values specifying the type of
Indication.",true,,,,,,,,,,,,,,,,,,,,,,,,,0708,2.16.840.1.113883.12.708,"",tbd,undefined,,RXD-21,,,
0709 -- Dispense Package Size Unit (RXD-23),DOM: 709,DispensePackageSizeUnit,"The domain of possible values specifying the type of Dispense
Package Size Unit.",true,,,,,,,,,,,,,,,,,,,,,,,,,0709,2.16.840.1.113883.12.709,"",tbd,undefined,,RXD-23,,,
0710 -- Supplementary Code (RXD-25),DOM: 710,SupplementaryCode,"The domain of possible values specifying the type of Supplementary
Code.",true,,,,,,,,,,,,,,,,,,,,,,,,,0710,2.16.840.1.113883.12.710,"",tbd,undefined,,RXD-25,,,
0711 -- Initiating Location (RXD-26),DOM: 711,InitiatingLocation,"The domain of possible values specifying the type of Initiating
Location.",true,,,,,,,,,,,,,,,,,,,,,,,,,0711,2.16.840.1.113883.12.711,"",tbd,undefined,,RXD-26,,,
0712 -- Packaging/Assembly Location (RXD-27),DOM: 712,Packaging/AssemblyLocation,"The domain of possible values specifying the type of
Packaging/Assembly Location.",true,,,,,,,,,,,,,,,,,,,,,,,,,0712,2.16.840.1.113883.12.712,"",tbd,undefined,,RXD-27,,,
0713 -- Actual Drug Strength Volume Units (RXD-29),DOM: 713,ActualDrugStrengthVolumeUnits,"The domain of possible values specifying the type of Actual Drug
Strength Volume Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0713,2.16.840.1.113883.12.713,"",tbd,undefined,,RXD-29,,,
0714 -- Dispense to Pharmacy (RXD-30),DOM: 714,DispensetoPharmacy,"The domain of possible values specifying the type of Dispense to
Pharmacy.",true,,,,,,,,,,,,,,,,,,,,,,,,,0714,2.16.840.1.113883.12.714,"",tbd,undefined,,RXD-30,,,
0715 -- Give Units (RXE-5),DOM: 715,GiveUnits,"The domain of possible values specifying the type of Give
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0715,2.16.840.1.113883.12.715,"",tbd,undefined,,RXE-5,,,
0716 -- Give Dosage Form (RXE-6),DOM: 716,GiveDosageForm,"The domain of possible values specifying the type of Give Dosage
Form.",true,,,,,,,,,,,,,,,,,,,,,,,,,0716,2.16.840.1.113883.12.716,"",tbd,undefined,,RXE-6,,,
0717 -- Access Restriction Value,DOM: 717,AccessRestrictionValue,"The domain of possible values for the policies governing the
information to which access is contolled.",false,2.16.840.1.113883.18.388,accessRestrictionValue,"Code system of concepts specifying the information to which access
is restricted. Used in HL7 Version 2.x messaging in the ARV segment.
Note that these new codes as of November 2018 have been temporarily
loaded into this V2 code system pending availability of the currently
unavailable new tooling, at which time this code systrem will be retired
and a value set of codes from the HL7 V3 ActCode code system will be
used instead for this table.",Access Restriction Value Code System,http://terminology.hl7.org/CodeSystem/v2-0717,,,,,,01.10.2007,2,2.6,2.16.840.1.113883.21.405,hl7VS-accessRestrictionValue,"Value Set of codes that specify the information to which access is
restricted. Note that the new codes as of November 2018 have been
temporarily loaded into the underlying V2 code system pending
availability of the currently unavailable new tooling, at which time
this value set will be retired and a value set based on the HL7 V3
ActCode code system will be used instead for this table, and the
rendered URL will be valid at terminology.hl7.org.",Access Restriction Value Value Set,http://terminology.hl7.org/ValueSet/v2-0717,all codes,,,,,example,0717,2.16.840.1.113883.12.717,Access Restriction Value,"Table of codes specifying the policies governing the information to
which access is controlled.",User,PA,ARV-3,2.6,,
0718 -- Provider's Administration Instructions (RXE-7),DOM: 718,Provider'sAdministrationInstructions,"The domain of possible values specifying the type of Provider's
Administration Instructions.",true,,,,,,,,,,,,,,,,,,,,,,,,,0718,2.16.840.1.113883.12.718,"",tbd,undefined,,RXE-7,,,
0719 -- Access Restriction Reason Code,DOM: 719,AccessRestrictionReasonCode,"The domain of possible values for the reason for the restricted
access.",false,2.16.840.1.113883.5.4,ActCode,"A code specifying the particular kind of Act that the
Act-instance represents within its class.
Constraints: The kind of Act (e.g. physical examination, serum
potassium, inpatient encounter, charge financial transaction, etc.) is
specified with a code from one of several, typically external, coding
systems. The coding system will depend on the class of Act, such as
LOINC for observations, etc.
Conceptually, the Act.code must be a specialization of the
Act.classCode. This is why the structure of ActClass domain should be
reflected in the superstructure of the ActCode domain and then
individual codes or externally referenced vocabularies subordinated
under these domains that reflect the ActClass structure.
Act.classCode and Act.code are not modifiers of each other but the
Act.code concept should really imply the Act.classCode concept. For a
negative example, it is not appropriate to use an Act.code ""potassium""
together with and Act.classCode for ""laboratory observation"" to somehow
mean ""potassium laboratory observation"" and then use the same Act.code
for ""potassium"" together with Act.classCode for ""medication"" to mean
""substitution of potassium"". This mutually modifying use of Act.code and
Act.classCode is not permitted.Code system of concepts specifying the
reason for the restricted access. Used in HL7 Version 2.x messaging in
the ARV segment.",Access Restriction Reason Code Code System,,,,,http://build.fhir.org/v3/ActCode/cs.html,replaces 2.16.840.1.113883.18.389,01.10.2007,139,2.6,2.16.840.1.113883.1.11.20428,InformationSensitivityPolicy,"Value Set of codes that specify the reason for the restricted
access.
Sensitivity codes are not useful for interoperability outside of a
policy domain because sensitivity policies are typically localized and
vary drastically across policy domains even for the same information
category because of differing organizational business rules, security
policies, and jurisdictional requirements. For example, an ""employee""
sensitivity code would make little sense for use outside of a policy
domain. ""Taboo"" would rarely be useful outside of a policy domain unless
there are jurisdictional requirements requiring that a provider disclose
sensitive information to a patient directly. Sensitivity codes may be
more appropriate in a legacy system's Master Files in order to notify
those who access a patient's orders and observations about the
sensitivity policies that apply. Newer systems may have a security
engine that uses a sensitivity policy's criteria directly. The
specializable Sensitivity Act.code may be useful in some scenarious if
used in combination with a sensitivity identifier and/or Act.titleValue
Set of codes that specify the reason for the restricted access.",Access Restriction Reason Code Value Set,http://terminology.hl7.org/ValueSet/v2-0719,HL7 V3 Value Set,http://build.fhir.org/v3/InformationSensitivityPolicy/vs.html,,,replaces 2.16.840.1.113883.21.406,example,0719,2.16.840.1.113883.12.719,Access Restriction Reason Code,"Table of codes specifying the reason for the restricted access. Note
these codes are maintained within HL7, but outside of Version 2.",HL7-EXT,PA,ARV-4,2.6,,
0720 -- Dispense Units (RXE-11),DOM: 720,DispenseUnits,"The domain of possible values specifying the type of Dispense
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0720,2.16.840.1.113883.12.720,"",tbd,undefined,,RXE-11,,,
0721 -- Special Dispensing Instructions (RXE-21),DOM: 721,SpecialDispensingInstructions,"The domain of possible values specifying the type of Special
Dispensing Instructions.",true,,,,,,,,,,,,,,,,,,,,,,,,,0721,2.16.840.1.113883.12.721,"",tbd,undefined,,RXE-21,,,
0722 -- Give Rate Units (RXE-24),DOM: 722,GiveRateUnits,"The domain of possible values specifying the type of Give Rate
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0722,2.16.840.1.113883.12.722,"",tbd,undefined,,RXE-24,,,
0723 -- Give Strength Units (RXE-26),DOM: 723,GiveStrengthUnits,"The domain of possible values specifying the type of Give Strength
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0723,2.16.840.1.113883.12.723,"",tbd,undefined,,RXE-26,,,
0724 -- Give Indication (RXE-27),DOM: 724,GiveIndication,"The domain of possible values specifying the type of Give
Indication.",true,,,,,,,,,,,,,,,,,,,,,,,,,0724,2.16.840.1.113883.12.724,"",tbd,undefined,,RXE-27,,,
0725 -- Mood Codes,DOM: 725,MoodCodes,"The domain of possible values for the functional state of an
order.",false,2.16.840.1.113883.5.1001,actMood,tbd,Mood Codes Code System,,,,,,,,1,,2.16.840.1.113883.21.407,hl7VS-moodCodes,"Value Set of codes that specify the functional state of an
order.",Mood Codes Value Set,http://terminology.hl7.org/ValueSet/v2-0725,enumerated per table content,,,,,universal,0725,2.16.840.1.113883.12.725,Mood Codes,"HL7-defined table of codes specifying the functional state of an
order.",HL7,OO,"RXO-31, OBX-22",2.6,,
0726 -- Dispense Package Size Unit (RXE-29),DOM: 726,DispensePackageSizeUnit,"The domain of possible values specifying the type of Dispense
Package Size Unit.",true,,,,,,,,,,,,,,,,,,,,,,,,,0726,2.16.840.1.113883.12.726,"",tbd,undefined,,RXE-29,,,
0727 -- Supplementary Code (RXE-31),DOM: 727,SupplementaryCode,"The domain of possible values specifying the type of Supplementary
Code.",true,,,,,,,,,,,,,,,,,,,,,,,,,0727,2.16.840.1.113883.12.727,"",tbd,undefined,,RXE-31,,,
0728 -- CCL Value,DOM: 728,CclValue,"The domain of possible values for the clinical complexity level
(CCL) value for the determined diagnosis related group (DRG) for this
diagnosis.",false,2.16.840.1.113883.18.391,cclValue,"Code system of concepts specifying the clinical complexity level
(CCL) value for the determined diagnosis related group (DRG) for this
diagnosis. US Realm. Used in HL7 Version 2.x messaging in the DG1
segment.",CCL Value Code System,http://terminology.hl7.org/CodeSystem/v2-0728,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.408,hl7VS-cclValue,"Value Set of codes that specify the clinical complexity level (CCL)
value for the determined diagnosis related group (DRG) for this
diagnosis.",CCL Value Value Set,http://terminology.hl7.org/ValueSet/v2-0728,all codes,,,,,universal,0728,2.16.840.1.113883.12.728,CCL Value,"Table of codes specifying the clinical complexity level (CCL) value
for the determined diagnosis related group (DRG) for this diagnosis. US
Realm.",HL7,FM,DG1-23,2.6,,
0729 -- Give Drug Strength Volume Units (RXE-34),DOM: 729,GiveDrugStrengthVolumeUnits,"The domain of possible values specifying the type of Give Drug
Strength Volume Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0729,2.16.840.1.113883.12.729,"",tbd,undefined,,RXE-34,,,
0730 -- Pharmaceutical Substance Alternative (RXE-37),DOM: 730,PharmaceuticalSubstanceAlternative,"The domain of possible values specifying the type of Pharmaceutical
Substance Alternative.",true,,,,,,,,,,,,,,,,,,,,,,,,,0730,2.16.840.1.113883.12.730,"",tbd,undefined,,RXE-37,,,
0731 -- DRG Diagnosis Determination Status,DOM: 731,DrgDiagnosisDeterminationStatus,"The domain of possible values for the status of a diagnosis for a
diagnosis related group (DRG) determination.",false,2.16.840.1.113883.18.392,drgDiagnosisDeterminationStatus,"HL7-defined cCode system of concepts specifying the status of a
diagnosis for a diagnosis related group (DRG) determination. US Realm.
Used in HL7 Version 2.x messaging in the DG1 segment.",DRG Diagnosis Determination Status Code System,http://terminology.hl7.org/CodeSystem/v2-0731,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.409,hl7VS-drgDiagnosisDeterminationStatus,"Value Set of codes that specify the status of a diagnosis for a
diagnosis related group (DRG) determination.",DRG Diagnosis Determination Status Value Set,http://terminology.hl7.org/ValueSet/v2-0731,all codes,,,,,universal,0731,2.16.840.1.113883.12.731,DRG Diagnosis Determination Status,"HL7-defined table of codes specifying the status of a diagnosis for
a diagnosis related group (DRG) determination. US Realm.",HL7,FM,DG1-25,2.6,,
0732 -- Pharmacy of Most Recent Fill (RXE-38),DOM: 732,PharmacyofMostRecentFill,"The domain of possible values specifying the type of Pharmacy of
Most Recent Fill.",true,,,,,,,,,,,,,,,,,,,,,,,,,0732,2.16.840.1.113883.12.732,"",tbd,undefined,,RXE-38,,,
0733 -- Dispensing Pharmacy (RXE-40),DOM: 733,DispensingPharmacy,"The domain of possible values specifying the type of Dispensing
Pharmacy.",true,,,,,,,,,,,,,,,,,,,,,,,,,0733,2.16.840.1.113883.12.733,"",tbd,undefined,,RXE-40,,,
0734 -- Grouper Status,DOM: 734,GrouperStatus,"The domain of possible values for the status of a grouper in
general.",false,2.16.840.1.113883.18.393,grouperStatus,"Code system of concepts specifying the status of a grouper in
general. US Realm. Used in HL7 Version 2.x messaging in the DRG
segment.",Grouper Status Code System,http://terminology.hl7.org/CodeSystem/v2-0734,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.410,hl7VS-grouperStatus,"Value Set of codes that specify the status of a grouper in
general.",Grouper Status Value Set,http://terminology.hl7.org/ValueSet/v2-0734,all codes,,,,,example,0734,2.16.840.1.113883.12.734,Grouper Status,"Table of codes specifying the status of a grouper in general. US
Realm.",User,FM,DRG-13,2.6,,
0735 -- Give Units (RXG-7),DOM: 735,GiveUnits,"The domain of possible values specifying the type of Give
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0735,2.16.840.1.113883.12.735,"",tbd,undefined,,RXG-7,,,
0736 -- Give Dosage Form (RXG-8),DOM: 736,GiveDosageForm,"The domain of possible values specifying the type of Give Dosage
Form.",true,,,,,,,,,,,,,,,,,,,,,,,,,0736,2.16.840.1.113883.12.736,"",tbd,undefined,,RXG-8,,,
0737 -- Administration Notes (RXG-9),DOM: 737,AdministrationNotes,"The domain of possible values specifying the type of Administration
Notes.",true,,,,,,,,,,,,,,,,,,,,,,,,,0737,2.16.840.1.113883.12.737,"",tbd,undefined,,RXG-9,,,
0738 -- Special Administration Instructions (RXG-13),DOM: 738,SpecialAdministrationInstructions,"The domain of possible values specifying the type of Special
Administration Instructions.",true,,,,,,,,,,,,,,,,,,,,,,,,,0738,2.16.840.1.113883.12.738,"",tbd,undefined,,RXG-13,,,
0739 -- DRG Status Patient,DOM: 739,DrgStatusPatient,"The domain of possible values for whether the length of stay is
normal or respectively shorter or longer than normal.",false,2.16.840.1.113883.18.394,drgStatusPatient,"Code system of concepts specifying whether the length of stay is
normal or respectively shorter or longer than normal. Used in HL7
Version 2.x messaging in the DRG segment.",DRG Status Patient Code System,http://terminology.hl7.org/CodeSystem/v2-0739,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.411,hl7VS-statusPatient,"Value Set of codes that specify whether the length of stay is normal
or respectively shorter or longer than normal.",DRG Status Patient Value Set,http://terminology.hl7.org/ValueSet/v2-0739,all codes,,,,,example,0739,2.16.840.1.113883.12.739,DRG Status Patient,"Table of codes specifying whether the length of stay is normal or
respectively shorter or longer than normal.",User,FM,DRG-17,2.6,,
0740 -- Give Rate Units (RXG-16),DOM: 740,GiveRateUnits,"The domain of possible values specifying the type of Give Rate
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0740,2.16.840.1.113883.12.740,"",tbd,undefined,,RXG-16,,,
0741 -- Give Strength Units (RXG-18),DOM: 741,GiveStrengthUnits,"The domain of possible values specifying the type of Give Strength
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0741,2.16.840.1.113883.12.741,"",tbd,undefined,,RX-18,,,
0742 -- DRG Status Financial Calculation,DOM: 742,DrgStatusFinancialCalculation,"The domain of possible values for the status of the diagnosis
related group (DRG) calculation regarding the financial aspects.",false,2.16.840.1.113883.18.395,drgStatusFinancialCalculation,"Code system of concepts specifying the status of the diagnosis
related group (DRG) calculation regarding the financial aspects. US
Realm. Used in HL7 Version 2.x messaging in the DRG segment.",DRG Status Financial Calculation Code System,http://terminology.hl7.org/CodeSystem/v2-0742,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.412,hl7VS-drgStatusFinancialCalculation,"Value Set of codes that specify the status of the diagnosis related
group (DRG) calculation regarding the financial aspects.",DRG Status Financial Calculation Value Set,http://terminology.hl7.org/ValueSet/v2-0742,all codes,,,,,representative,0742,2.16.840.1.113883.12.742,DRG Status Financial Calculation,"Table of codes specifying the status of the diagnosis related group
(DRG) calculation regarding the financial aspects. US Realm.",User,FM,DRG-20,2.6,,
0743 -- Indication (RXG-22),DOM: 743,Indication,"The domain of possible values specifying the type of
Indication.",true,,,,,,,,,,,,,,,,,,,,,,,,,0743,2.16.840.1.113883.12.743,"",tbd,undefined,,RXG-22,,,
0744 -- Give Drug Strength Volume Units (RXG-24),DOM: 744,GiveDrugStrengthVolumeUnits,"The domain of possible values specifying the type of Give Drug
Strength Volume Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0744,2.16.840.1.113883.12.744,"",tbd,undefined,,RX-24,,,
0745 -- Give Barcode Identifier (RXG-25),DOM: 745,GiveBarcodeIdentifier,"The domain of possible values specifying the type of Give Barcode
Identifier.",true,,,,,,,,,,,,,,,,,,,,,,,,,0745,2.16.840.1.113883.12.745,"",tbd,undefined,,RXG-25,,,
0746 -- Dispense Units (RXG-33),DOM: 746,DispenseUnits,"The domain of possible values specifying the type of Dispense
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0746,2.16.840.1.113883.12.746,"",tbd,undefined,,RXG-33,,,
0747 -- Requested Give Code (RXO-1),DOM: 747,RequestedGiveCode,"The domain of possible values specifying the type of Requested Give
Code.",true,,,,,,,,,,,,,,,,,,,,,,,,,0747,2.16.840.1.113883.12.747,"",tbd,undefined,,RXO-1,,,
0748 -- Requested Give Units (RXO-4),DOM: 748,RequestedGiveUnits,"The domain of possible values specifying the type of Requested Give
Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0748,2.16.840.1.113883.12.748,"",tbd,undefined,,RXO-4,,,
0749 -- DRG Grouping Status,DOM: 749,DrgGroupingStatus,"The domain of possible values for the status of the use of the
gender information for diagnosis related group (DRG) determination.",false,2.16.840.1.113883.18.396,drgGroupingStatus,"Code system of concepts specifying the status of the use of the
gender information for diagnosis related group (DRG) determination. US
Realm. Used in HL7 Version 2.x messaging in the DRG segment.",DRG Grouping Status Code System,http://terminology.hl7.org/CodeSystem/v2-0749,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.413,hl7VS-drgGroupingStatus,"Value Set of codes that specify the status of the use of the gender
information for diagnosis related group (DRG) determination.",DRG Grouping Status Value Set,http://terminology.hl7.org/ValueSet/v2-0749,all codes,,,,,representative,0749,2.16.840.1.113883.12.749,DRG Grouping Status,"Table of codes specifying the status of the use of the gender
information for diagnosis related group (DRG) determination. US
Realm.",User,FM,DRG-26,2.6,,
0750 -- Requested Dosage Form (RXO-5),DOM: 750,RequestedDosageForm,"The domain of possible values specifying the type of Requested
Dosage Form.",true,,,,,,,,,,,,,,,,,,,,,,,,,0750,2.16.840.1.113883.12.750,"",tbd,undefined,,RXO-5,,,
0751 -- Provider's Pharmacy/Treatment Instructions (RXO-6),DOM: 751,Provider'sPharmacy/TreatmentInstructions,"The domain of possible values specifying the type of Provider's
Pharmacy/Treatment Instructions.",true,,,,,,,,,,,,,,,,,,,,,,,,,0751,2.16.840.1.113883.12.751,"",tbd,undefined,,RXO-6,,,
0752 -- Provider's Administration Instructions (RXO-7),DOM: 752,Provider'sAdministrationInstructions,"The domain of possible values specifying the type of Provider's
Administration Instructions.",true,,,,,,,,,,,,,,,,,,,,,,,,,0752,2.16.840.1.113883.12.752,"",tbd,undefined,,RXO-7,,,
0753 -- Requested Dispense Code (RXO-10),DOM: 753,RequestedDispenseCode,"The domain of possible values specifying the type of Requested
Dispense Code.",true,,,,,,,,,,,,,,,,,,,,,,,,,0753,2.16.840.1.113883.12.753,"",tbd,undefined,,RXO-10,,,
0754 -- Requested Dispense Units (RXO-12),DOM: 754,RequestedDispenseUnits,"The domain of possible values specifying the type of Requested
Dispense Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0754,2.16.840.1.113883.12.754,"",tbd,undefined,,RXO-12,,,
0755 -- Status Weight At Birth,DOM: 755,StatusWeightAtBirth,"The domain of possible values for the status of the use of the
weight at birth for diagnosis related group (DRG) determination.",false,2.16.840.1.113883.18.397,drgstatusWeightAtBirth,"Code system of concepts specifying the status of the use of the
weight at birth for diagnosis related group (DRG) determination. US
Realm. Used in HL7 Version 2.x messaging in the DRG segment.",Status Weight At Birth Code System,http://terminology.hl7.org/CodeSystem/v2-0755,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.414,hl7VS-statusWeightAtBirth,"Value Set of codes that specify the status of the use of the weight
at birth for diagnosis related group (DRG) determination.",Status Weight At Birth Value Set,http://terminology.hl7.org/ValueSet/v2-0755,all codes,,,,,example,0755,2.16.840.1.113883.12.755,Status Weight At Birth,"Table of codes specifying the status of the use of the weight at
birth for diagnosis related group (DRG) determination. US Realm.",User,FM,DRG-31,2.6,,
0756 -- Requested Give Strength Units (RXO-19),DOM: 756,RequestedGiveStrengthUnits,"The domain of possible values specifying the type of Requested Give
Strength Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0756,2.16.840.1.113883.12.756,"",tbd,undefined,,RXO-19,,,
0757 -- DRG Status Respiration Minutes,DOM: 757,DrgStatusRespirationMinutes,"The domain of possible values for the status of the use of the
respiration minutes information for diagnosis related group (DRG)
determination.",false,2.16.840.1.113883.18.398,drgStatusRespirationMinutes,"Code system of concepts specifying the status of the use of the
respiration minutes information for diagnosis related group (DRG)
determination. US Realm. Used in HL7 Version 2.x messaging in the DRG
segment.",DRG Status Respiration Minutes Code System,http://terminology.hl7.org/CodeSystem/v2-0757,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.415,hl7VS-statusRespirationMinutes,"Value Set of codes that specify the status of the use of the
respiration minutes information for diagnosis related group (DRG)
determination.",DRG Status Respiration Minutes Value Set,http://terminology.hl7.org/ValueSet/v2-0757,all codes,,,,,example,0757,2.16.840.1.113883.12.757,DRG Status Respiration Minutes,"Table of codes specifying the status of the use of the respiration
minutes information for diagnosis related group (DRG) determination. US
Realm.",User,FM,DRG-32,2.6,,
0758 -- Indication (RXO-20),DOM: 758,Indication,"The domain of possible values specifying the type of
Indication.",true,,,,,,,,,,,,,,,,,,,,,,,,,0758,2.16.840.1.113883.12.758,"",tbd,undefined,,RXO-20,,,
0759 -- Status Admission,DOM: 759,StatusAdmission,"The domain of possible values for the admission status for the
diagnosis related group (DRG) determination.",false,2.16.840.1.113883.18.399,drgstatusAdmission,"Code system of concepts specifying the admission status for the
diagnosis related group (DRG) determination. US Realm. Used in HL7
Version 2.x messaging in the DRG segment.",Status Admission Code System,http://terminology.hl7.org/CodeSystem/v2-0759,,,,,,01.10.2007,1,2.6,2.16.840.1.113883.21.416,hl7VS-statusAdmission,"Value Set of codes that specify the admission status for the
diagnosis related group (DRG) determination.",Status Admission Value Set,http://terminology.hl7.org/ValueSet/v2-0759,all codes,,,,,representative,0759,2.16.840.1.113883.12.759,Status Admission,"Table of codes specifying the admission status for the diagnosis
related group (DRG) determination. US Realm.",User,FM,DRG-33,2.6,,
0760 -- Requested Give Rate Units (RXO-22),DOM: 760,RequestedGiveRateUnits,"The domain of possible values specifying the type of Requested Give
Rate Units.",true,,,,,,,,,,,,,,,,,,,,,,,,,0760,2.16.840.1.113883.12.760,"",tbd,undefined,,RXO-22,,,
